Cust_Number,Yearly_Income,Age,Cust_Spend_Score,Sex
CUSTID69,48000,22,60,0
CUSTID70,48000,35,51,1
CUSTID71,49000,72,53,0
CUSTID72,49000,46,43,1
CUSTID73,50000,62,47,1
CUSTID74,50000,61,60,1
CUSTID75,54000,62,48,0
CUSTID76,54000,28,55,0
CUSTID77,54000,48,51,1
CUSTID78,54000,40,47,0
CUSTID79,54000,25,50,1
CUSTID80,54000,47,42,1
CUSTID81,54000,59,54,0
CUSTID82,54000,37,60,0
CUSTID83,54000,70,46,0
CUSTID84,54000,44,47,1
CUSTID85,54000,21,55,1
CUSTID86,54000,47,50,0
CUSTID87,57000,57,57,1
CUSTID88,57000,24,56,1
CUSTID89,58000,31,65,1
CUSTID90,58000,51,47,1
CUSTID91,59000,67,56,1
CUSTID92,59000,18,39,0
CUSTID93,60000,49,54,0
CUSTID94,60000,37,41,1
CUSTID95,60000,29,47,1
CUSTID96,60000,24,56,0
CUSTID97,60000,44,49,1
CUSTID98,60000,29,48,1
CUSTID99,61000,46,47,0
CUSTID100,61000,22,51,0
CUSTID101,62000,23,39,1
CUSTID102,62000,52,46,1
CUSTID103,62000,67,57,0
CUSTID104,62000,29,54,0
CUSTID105,62000,52,56,0
CUSTID106,62000,22,44,1
CUSTID107,63000,67,52,1
CUSTID108,63000,56,45,0
CUSTID109,63000,69,46,0
CUSTID110,63000,65,50,0
CUSTID111,63000,64,52,0
CUSTID112,63000,22,52,1
CUSTID113,64000,39,46,1
CUSTID114,64000,19,49,0
CUSTID115,65000,21,52,1
CUSTID116,65000,21,52,1
CUSTID117,65000,64,43,1
CUSTID118,65000,48,61,1
CUSTID119,67000,51,47,1
CUSTID120,67000,53,57,1
CUSTID121,67000,30,60,0
CUSTID122,67000,37,39,1
CUSTID123,69000,40,62,1
CUSTID124,69000,36,91,0
CUSTID125,70000,21,27,1
CUSTID126,70000,34,75,1
CUSTID127,71000,40,33,0
CUSTID128,71000,42,96,0
CUSTID129,71000,59,12,0
CUSTID130,71000,39,78,0
CUSTID131,71000,46,7,0
CUSTID132,71000,40,77,0
CUSTID133,72000,28,32,1
CUSTID134,72000,32,72,1
CUSTID135,73000,23,7,0
CUSTID136,73000,28,88,1
CUSTID137,73000,43,6,1
CUSTID138,73000,30,73,0
CUSTID139,74000,22,13,0
CUSTID140,74000,36,77,1
CUSTID141,75000,54,3,1
CUSTID142,75000,34,97,0
CUSTID143,76000,26,44,1
CUSTID144,76000,34,89,1
CUSTID145,77000,24,12,0
CUSTID146,77000,28,102,0
CUSTID147,77000,45,38,0
CUSTID148,77000,29,77,1
CUSTID149,78000,33,20,1
CUSTID150,78000,35,94,0
CUSTID151,78000,45,15,0
CUSTID152,78000,39,88,0
CUSTID153,78000,44,24,1
CUSTID154,78000,37,77,1
CUSTID155,78000,50,15,1
CUSTID156,78000,29,88,1
CUSTID157,78000,39,6,0
CUSTID158,78000,27,80,1
CUSTID159,78000,33,1,0
CUSTID160,78000,33,71,1
CUSTID161,79000,55,34,1
CUSTID162,79000,27,81,1
CUSTID163,81000,21,10,0
CUSTID164,81000,33,96,1
CUSTID165,85000,47,26,0
CUSTID166,85000,39,73,1
CUSTID167,86000,42,21,0
CUSTID168,86000,36,95,1
CUSTID169,87000,37,27,1
CUSTID170,87000,30,64,0
CUSTID171,87000,42,12,0
CUSTID172,87000,26,75,0
CUSTID173,87000,36,14,0
CUSTID174,87000,39,95,0
CUSTID175,88000,54,12,1
CUSTID176,88000,27,87,1
CUSTID177,88000,56,16,0
CUSTID178,88000,27,72,0
CUSTID179,93000,58,13,0
CUSTID180,93000,33,94,0
CUSTID181,97000,34,36,1
CUSTID182,97000,32,86,1
CUSTID183,98000,44,18,0
CUSTID184,98000,26,93,1
CUSTID185,99000,41,37,1
CUSTID186,99000,29,95,0
CUSTID187,101000,52,28,1
CUSTID188,101000,28,66,0
CUSTID189,103000,40,22,1
CUSTID190,103000,37,90,1
CUSTID191,103000,36,23,1
CUSTID192,103000,32,69,1
CUSTID193,113000,31,12,0
CUSTID194,113000,35,94,1
CUSTID195,120000,48,17,1
CUSTID196,120000,36,79,1
CUSTID197,126000,46,32,1
CUSTID198,126000,29,72,0
CUSTID199,137000,32,22,0
CUSTID200,137000,28,88,0
